Platform,Username,Business Name,Business Type,Owner Name,Initial Message,Message Sent At,Follow Up Count,Has Responded,Is Warm Lead,Status
instagram,test_user_1,Test Chiropractor 1,Chiropractor,Owner1,"Hi Owner1, I noticed your Chiropractor business (Test Chiropractor 1) online. Are you currently happy with how you're booking new clients? I help Chiropractor businesses increase bookings with custom websites designed specifically for your industry.",2025-03-16 04:33:17,1,Yes,Yes,Warm Lead
instagram,test_user_2,Test Chiropractor 2,Chiropractor,Owner2,"Hi Owner2, I noticed your Chiropractor business (Test Chiropractor 2) online. Are you currently happy with how you're booking new clients? I help Chiropractor businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:33:17,0,Yes,No,Responded
instagram,test_user_3,Test Accountant 3,Accountant,Owner3,"Hi Owner3, I noticed your Accountant business (Test Accountant 3) online. Are you currently happy with how you're booking new clients? I help Accountant businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:33:19,0,No,No,Waiting
instagram,test_user_4,Test Life Coach 4,Life Coach,Owner4,"Hi Owner4, I noticed your Life Coach business (Test Life Coach 4) online. Are you currently happy with how you're booking new clients? I help Life Coach businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:33:20,0,Yes,Yes,Warm Lead
instagram,test_user_5,Test Pet Grooming 5,Pet Grooming,Owner5,"Hi Owner5, I noticed your Pet Grooming business (Test Pet Grooming 5) online. Are you currently happy with how you're booking new clients? I help Pet Grooming businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:33:21,0,Yes,Yes,Warm Lead
instagram,test_user_6,Test Plumber 6,Plumber,Owner6,"Hi Owner6, I noticed your Plumber business (Test Plumber 6) online. Are you currently happy with how you're booking new clients? I help Plumber businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:33:21,0,Yes,Yes,Warm Lead
instagram,test_user_7,Test Local Retailer 7,Local Retailer,Owner7,"Hi Owner7, I noticed your Local Retailer business (Test Local Retailer 7) online. Are you currently happy with how you're booking new clients? I help Local Retailer businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:33:22,0,Yes,Yes,Warm Lead
instagram,test_user_8,Test Dentist 8,Dentist,Owner8,"Hi Owner8, I noticed your Dentist business (Test Dentist 8) online. Are you currently happy with how you're booking new clients? I help Dentist businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:33:23,0,Yes,Yes,Warm Lead
instagram,test_user_9,Test Chiropractor 9,Chiropractor,Owner9,"Hi Owner9, I noticed your Chiropractor business (Test Chiropractor 9) online. Are you currently happy with how you're booking new clients? I help Chiropractor businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:33:24,0,No,No,Waiting
instagram,test_user_10,Test Physiotherapist 10,Physiotherapist,Owner10,"Hi Owner10, I noticed your Physiotherapist business (Test Physiotherapist 10) online. Are you currently happy with how you're booking new clients? I help Physiotherapist businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:33:25,0,Yes,Yes,Warm Lead
instagram,test_user_11,Test Coffee Shop 11,Coffee Shop,Owner11,"Hi Owner11, I noticed your Coffee Shop business (Test Coffee Shop 11) online. Are you currently happy with how you're booking new clients? I help Coffee Shop businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:33:26,0,Yes,Yes,Warm Lead
